entity_type,entity_code,entity_name,source_table,parent_code,level,value_type,description,status,last_verified_at
data_account,A1001,存放央行法定准备金-日均,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,A1010,存放央行超额准备金-日均,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,A1020,存放同业活期资产-日均,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,A1021,存放同业定期资产-日均,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,A1022,存放同业其他资产-日均,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,A1030,拆放同业资产-日均,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,A1040,买入返售资产-日均,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,A1050,同业存单投资-日均,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,A1060,同业货基投资-日均,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,A1061,同业债基投资-日均,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,A1100,国债投资-日均,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,A1101,地方债投资-日均,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,A1102,政策性金融债投资-日均,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,A1200,开心贷单品-日均,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,A1201,开心贷分期-日均,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,A3000,同业基金,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,B1001,拆放同业,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,M0001,公司存款,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,M1002,其他负债,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,N1001,开心贷款规模,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,N1002,开心贷款利率,data_account,,,百分比,,active,2026-04-12T02:24:54Z
data_account,N1003,开心贷款利息收入,data_account,,,金额,,active,2026-04-12T02:24:54Z
data_account,N1004,开心贷款有效客户数,data_account,,,户数,,active,2026-04-12T02:24:54Z
report_account,X01,资产负债日均,report_account,,1,,,active,2026-04-12T02:24:54Z
report_account,X0101,资产日均,report_account,X01,2,,,active,2026-04-12T02:24:54Z
report_account,X010101,存放央行日均,report_account,X0101,3,,,active,2026-04-12T02:24:54Z
report_account,X010102,同业资产日均,report_account,X0101,3,,,active,2026-04-12T02:24:54Z
report_account,X01010201,存放同业日均,report_account,X010102,4,,,active,2026-04-12T02:24:54Z
report_account,X01010202,拆放同业日均,report_account,X010102,4,,,active,2026-04-12T02:24:54Z
report_account,X01010203,买入返售资产日均,report_account,X010102,4,,,active,2026-04-12T02:24:54Z
report_account,X01010204,同业存单投资日均,report_account,X010102,4,,,active,2026-04-12T02:24:54Z
report_account,X01010205,同业基金投资日均,report_account,X010102,4,,,active,2026-04-12T02:24:54Z
report_account,X01010206,债券资产投资日均,report_account,X010102,4,,,active,2026-04-12T02:24:54Z
report_account,X0101020601,国债投资,report_account,X01010206,5,,,active,2026-04-12T02:24:54Z
report_account,X0101020602,地方债投资日均,report_account,X01010206,5,,,active,2026-04-12T02:24:54Z
report_account,X0101020603,政策性金融债投资日均,report_account,X01010206,5,,,active,2026-04-12T02:24:54Z
report_account,X0101020604,金融债投资日均,report_account,X01010206,5,,,active,2026-04-12T02:24:54Z
report_account,X0101020605,信用债投资日均,report_account,X01010206,5,,,active,2026-04-12T02:24:54Z
report_account,X010103,各项贷款日均,report_account,X0101,3,,,active,2026-04-12T02:24:54Z
report_account,X01010301,个人贷款日均,report_account,X010103,4,,,active,2026-04-12T02:24:54Z
report_account,X01010302,企业贷款日均,report_account,X010103,4,,,active,2026-04-12T02:24:54Z
report_account,X01010309,其他贷款日均,report_account,X010103,4,,,active,2026-04-12T02:24:54Z
report_account,X010109,其他生息资产日均,report_account,X0101,3,,,active,2026-04-12T02:24:54Z
report_account,X0102,负债日均,report_account,X01,2,,,active,2026-04-12T02:24:54Z
report_account,X010201,各项存款日均,report_account,X0102,3,,,active,2026-04-12T02:24:54Z
report_account,X01020101,个人存款日均,report_account,X010201,4,,,active,2026-04-12T02:24:54Z
report_account,X01020102,企业存款日均,report_account,X010201,4,,,active,2026-04-12T02:24:54Z
report_account,X010202,同业负债日均,report_account,X0102,3,,,active,2026-04-12T02:24:54Z
report_account,X01020201,同业存款日均,report_account,X010202,4,,,active,2026-04-12T02:24:54Z
report_account,X01020202,同业拆入日均,report_account,X010202,4,,,active,2026-04-12T02:24:54Z
report_account,X01020203,卖出回购日均,report_account,X010202,4,,,active,2026-04-12T02:24:54Z
report_account,X01020209,发行同业存单日均,report_account,X010202,4,,,active,2026-04-12T02:24:54Z
report_account,X010203,央行资金日均,report_account,X0102,3,,,active,2026-04-12T02:24:54Z
report_account,X010209,其他付息负债日均,report_account,X0102,3,,,active,2026-04-12T02:24:54Z
report_account,X0104,表外项目,report_account,X01,2,,,active,2026-04-12T02:24:54Z
report_account,X02,资产负债时点,report_account,,1,,,active,2026-04-12T02:24:54Z
report_account,X0201,资产时点,report_account,X02,2,,,active,2026-04-12T02:24:54Z
report_account,X0202,负债时点,report_account,X02,2,,,active,2026-04-12T02:24:54Z
report_account,X0203,权益时点,report_account,X02,2,,,active,2026-04-12T02:24:54Z
report_account,X03,损益（净利润）,report_account,,1,,,active,2026-04-12T02:24:54Z
report_account,X0301,净收入,report_account,X03,2,,,active,2026-04-12T02:24:54Z
report_account,X030101,营业收入,report_account,X0301,3,,,active,2026-04-12T02:24:54Z
report_account,X03010101,利息净收入,report_account,X030101,4,,,active,2026-04-12T02:24:54Z
report_account,X0301010101,资产业务外部利息收入,report_account,X03010101,5,,,active,2026-04-12T02:24:54Z
report_account,X0301010102,资产业务FTP成本,report_account,X03010101,5,,,active,2026-04-12T02:24:54Z
report_account,X0301010103,负债业务FTP收入,report_account,X03010101,5,,,active,2026-04-12T02:24:54Z
report_account,X0301010104,负值业务外部利息支出,report_account,X03010101,5,,,active,2026-04-12T02:24:54Z
report_account,X03010102,手续费净收入,report_account,X030101,4,,,active,2026-04-12T02:24:54Z
report_account,X03010103,其他营业收入,report_account,X030101,4,,,active,2026-04-12T02:24:54Z
report_account,X030102,风险成本,report_account,X0301,3,,,active,2026-04-12T02:24:54Z
report_account,X0302,税金及附加,report_account,X03,2,,,active,2026-04-12T02:24:54Z
report_account,X0303,业务及管理费,report_account,X03,2,,,active,2026-04-12T02:24:54Z
report_account,X0304,营业外收支,report_account,X03,2,,,active,2026-04-12T02:24:54Z
report_account,X0305,内部分摊,report_account,X03,2,,,active,2026-04-12T02:24:54Z
report_account,X0309,所得税费用,report_account,X03,2,,,active,2026-04-12T02:24:54Z
report_account,X04,管理贷款,report_account,,1,,,active,2026-04-12T02:24:54Z
report_account,X05,管理资产,report_account,,1,,,active,2026-04-12T02:24:54Z
report_account,X10,生息资产收益率,report_account,,1,,,active,2026-04-12T02:24:54Z
